ds,y
1/1/2014,61671967
2/1/2014,62274659
3/1/2014,64270142
4/1/2014,64430235
5/1/2014,66423553
6/1/2014,67034080
7/1/2014,67147446
8/1/2014,67927806
9/1/2014,68408525
10/1/2014,68944587
11/1/2014,69212472
12/1/2014,69919366
1/1/2015,70379483
2/1/2015,70946607
3/1/2015,71409679
4/1/2015,71594742
5/1/2015,71990204
6/1/2015,72454815
7/1/2015,72672694
8/1/2015,72824063
9/1/2015,70897287
10/1/2015,71835349
11/1/2015,72481885
12/1/2015,72701268
1/1/2016,72894837
2/1/2016,73051223
3/1/2016,72863897
4/1/2016,73180440
5/1/2016,73380499
6/1/2016,73467427
7/1/2016,73628614
8/1/2016,74843252
9/1/2016,74775144
10/1/2016,74749018
11/1/2016,74755531
12/1/2016,74995234
1/1/2017,75033246
2/1/2017,75011673
3/1/2017,75101541
4/1/2017,75027667
5/1/2017,74990050
6/1/2017,73342389
7/1/2017,73305030
8/1/2017,73294922
9/1/2017,73128693
10/1/2017,73204357
11/1/2017,73193768
12/1/2017,73302816
1/1/2018,73162843
2/1/2018,73150048
3/1/2018,73101694
4/1/2018,72892424
5/1/2018,72717001
6/1/2018,72482268
7/1/2018,72422498
8/1/2018,72288048
9/1/2018,72059845
10/1/2018,72043756
11/1/2018,71809497
12/1/2018,71716108
1/1/2019,71825120
2/1/2019,71783241
3/1/2019,71752631
4/1/2019,71604157
5/1/2019,71504423
6/1/2019,71405014
7/1/2019,71470366
8/1/2019,71476820
9/1/2019,71488576
10/1/2019,71412933
11/1/2019,71153604
12/1/2019,71079550
1/1/2020,71236779
2/1/2020,71157729
3/1/2020,71506870
4/1/2020,72690925
5/1/2020,73876794
6/1/2020,74862713
7/1/2020,75818906
8/1/2020,76755495
9/1/2020,77569435
10/1/2020,78322359
11/1/2020,79121167
12/1/2020,79993248
1/1/2021,80675779
2/1/2021,81172151
3/1/2021,81828568
4/1/2021,82351558
5/1/2021,82791334
6/1/2021,83314597
7/1/2021,83846649
8/1/2021,84541080
9/1/2021,85065373
10/1/2021,85562350
11/1/2021,86090344
12/1/2021,86615177
1/1/2022,87168044
2/1/2022,87602634
3/1/2022,88064423
4/1/2022,88490963
5/1/2022,89059892
6/1/2022,89532601
7/1/2022,90043133
8/1/2022,90606454
9/1/2022,91162800
10/1/2022,91614614
11/1/2022,92095810
12/1/2022,92340585
